# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
xhash,XHash24,mersenne31,24,single,6,32768,0,361374246
reinforced_concrete,,bls12_381,3,single,7,131072,0,240681147
reinforced_concrete,,bn254,3,single,7,131072,0,239954881
skyscraper,,bls12_381,4,single,18,262144,0,287006283
skyscraper,,bn254,4,single,18,262144,0,278355480
monolith,,goldilocks,8,single,6,1048576,0,264233755
monolith,,goldilocks,12,single,6,524288,0,203046059
monolith,,mersenne31,16,single,6,524288,0,213477460
monolith,,mersenne31,24,single,6,262144,0,216313629
polocolo,,bls12_381,3,single,6,1024,0,260761176
polocolo,,bls12_381,4,single,5,1024,0,290014825
polocolo,,bn254,3,single,6,1024,0,234234142
polocolo,,bn254,4,single,5,1024,0,261075734
tip4p,,goldilocks,12,single,5,262144,0,330705272
plain,sha256_compress,-,-,single,-,8388608,0,210894063
plain,keccak_f1600,-,-,single,-,524288,0,203122893
plain,blake2b_compress,-,-,single,-,2097152,0,241426931
plain,blake3_compress,-,-,single,-,4194304,0,269954824
gmimc,,bls12_381,3,single,228,16384,1,259000105
gmimc,,bls12_381,4,single,231,16384,1,263896104
gmimc,,bn254,3,single,228,16384,1,251410124
gmimc,,bn254,4,single,231,16384,1,253652454
gmimc,,goldilocks,8,single,68,524288,1,335607041
gmimc,,goldilocks,12,single,93,262144,1,235463038
gmimc,,mersenne31,16,single,158,262144,1,266739486
gmimc,,mersenne31,24,single,335,131072,1,318478518
gmimc,,koalabear,16,single,158,262144,1,304441840
gmimc,,koalabear,24,single,335,131072,1,335126243
gmimc,,babybear,16,single,158,131072,1,245803458
gmimc,,babybear,24,single,335,65536,1,258489031
gmimc2,alpha=8,bls12_381,3,single,63,32768,1,212679178
gmimc2,alpha=8,bls12_381,4,single,64,32768,1,216525284
gmimc2,alpha=8,bn254,3,single,63,32768,1,209645229
gmimc2,alpha=8,bn254,4,single,64,32768,1,212792791
gmimc2,alpha=4,goldilocks,8,single,88,262144,1,293165973
gmimc2,alpha=4,goldilocks,12,single,96,262144,1,361200400
gmimc2,alpha=2,mersenne31,16,single,176,65536,1,203903231
gmimc2,alpha=2,mersenne31,24,single,264,32768,1,226797557
gmimc2,alpha=2,koalabear,16,single,176,131072,1,289924686
gmimc2,alpha=2,koalabear,24,single,264,65536,1,239708140
gmimc2,alpha=2,babybear,16,single,176,131072,1,289993385
gmimc2,alpha=2,babybear,24,single,264,65536,1,233822343
poseidon,,bls12_381,3,single,8+56,16384,1,253742382
poseidon,,bls12_381,4,single,8+56,16384,1,374867025
poseidon,,bn254,3,single,8+56,16384,1,245394424
poseidon,,bn254,4,single,8+56,16384,1,366297664
poseidon,,goldilocks,8,single,8+22,131072,1,333761633
poseidon,,goldilocks,12,single,8+22,65536,1,319156845
poseidon,,mersenne31,16,single,8+14,65536,1,322688354
poseidon,,mersenne31,24,single,8+22,16384,1,225092301
poseidon,,koalabear,16,single,8+20,32768,1,250274262
poseidon,,koalabear,24,single,8+23,16384,1,298872034
poseidon,,babybear,16,single,8+13,65536,1,401601848
poseidon,,babybear,24,single,8+21,16384,1,286373401
poseidon2,,bls12_381,3,single,8+56,65536,1,315143816
poseidon2,,bls12_381,4,single,8+56,32768,1,283358668
