# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 034f65a85002594e7ad8ca6dd70ecf52e1169ff2
# git_state: clean
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
grendel,native,bn254,4,current,23,256,0,337293123
grendel,native,bn254,4,original,12,512,0,337067973
xhash,XHash8,goldilocks,12,single,6,32768,0,283679766
xhash,XHash12,goldilocks,12,single,6,32768,0,370893400
xhash,XHash16,mersenne31,24,single,6,32768,0,301962485
xhash,XHash24,mersenne31,24,single,6,32768,0,362692628
reinforced_concrete,,bls12_381,3,single,7,131072,0,241624795
reinforced_concrete,,bn254,3,single,7,131072,0,244088317
skyscraper,,bls12_381,4,single,18,262144,0,325352354
skyscraper,,bn254,4,single,18,262144,0,316851382
monolith,,goldilocks,8,single,6,1048576,0,266077079
monolith,,goldilocks,12,single,6,524288,0,205858110
monolith,,mersenne31,16,single,6,524288,0,214909131
monolith,,mersenne31,24,single,6,262144,0,218094742
polocolo,,bls12_381,3,single,6,1024,0,264515992
polocolo,,bls12_381,4,single,5,1024,0,293269133
polocolo,,bn254,3,single,6,1024,0,237183075
polocolo,,bn254,4,single,5,1024,0,264245988
tip4p,,goldilocks,12,single,5,262144,0,332371829
plain,sha256_compress,-,-,single,-,8388608,0,211649200
plain,keccak_f1600,-,-,single,-,524288,0,204850307
plain,blake2b_compress,-,-,single,-,2097152,0,240716597
plain,blake3_compress,-,-,single,-,4194304,0,274669242
gmimc,,bls12_381,3,single,228,16384,1,261302759
gmimc,,bls12_381,4,single,231,16384,1,266541667
gmimc,,bn254,3,single,228,16384,1,250610502
gmimc,,bn254,4,single,231,16384,1,253596801
gmimc,,goldilocks,8,single,68,524288,1,337388462
gmimc,,goldilocks,12,single,93,262144,1,237624831
gmimc,,mersenne31,16,single,158,262144,1,268183033
gmimc,,mersenne31,24,single,335,131072,1,322607296
gmimc,,koalabear,16,single,158,262144,1,305790596
gmimc,,koalabear,24,single,335,131072,1,334244789
gmimc,,babybear,16,single,158,131072,1,246566948
gmimc,,babybear,24,single,335,65536,1,259895369
gmimc2,alpha=8,bls12_381,3,single,63,32768,1,225397537
gmimc2,alpha=8,bls12_381,4,single,64,32768,1,230222360
gmimc2,alpha=8,bn254,3,single,63,32768,1,220427480
gmimc2,alpha=8,bn254,4,single,64,32768,1,223569501
gmimc2,alpha=4,goldilocks,8,single,88,262144,1,294167571
gmimc2,alpha=4,goldilocks,12,single,96,262144,1,361387470
gmimc2,alpha=2,mersenne31,16,single,176,65536,1,201985043
gmimc2,alpha=2,mersenne31,24,single,264,32768,1,224008261
gmimc2,alpha=2,koalabear,16,single,176,131072,1,291510276
gmimc2,alpha=2,koalabear,24,single,264,65536,1,233677266
gmimc2,alpha=2,babybear,16,single,176,131072,1,290877524
